geno,bk,days,n_plants,dis_plants
A,1,1,50,0
A,1,30,50,4
A,1,60,50,6
A,1,90,50,21
A,1,120,50,30
A,1,150,50,34
A,1,180,50,42
A,1,210,50,49
A,1,240,50,50
A,1,270,50,50
A,2,1,50,0
A,2,30,50,3
A,2,60,50,4
A,2,90,50,17
A,2,120,50,24
A,2,150,50,29
A,2,180,50,34
A,2,210,50,38
A,2,240,50,42
A,2,270,50,44
A,3,1,50,0
A,3,30,50,4
A,3,60,50,6
A,3,90,50,18
A,3,120,50,26
A,3,150,50,30
A,3,180,50,35
A,3,210,50,46
A,3,240,50,47
A,3,270,50,49
B,1,1,50,0
B,1,30,50,1
B,1,60,50,4
B,1,90,50,6
B,1,120,50,7
B,1,150,50,9
B,1,180,50,15
B,1,210,50,19
B,1,240,50,21
B,1,270,50,23
B,2,1,50,0
B,2,30,50,1
B,2,60,50,5
B,2,90,50,7
B,2,120,50,10
B,2,150,50,12
B,2,180,50,19
B,2,210,50,21
B,2,240,50,24
B,2,270,50,24
B,3,1,50,1
B,3,30,50,3
B,3,60,50,5
B,3,90,50,9
B,3,120,50,11
B,3,150,50,14
B,3,180,50,20
B,3,210,50,22
B,3,240,50,26
B,3,270,50,27
