exp,location,year,roug,type,days,n_plants,inf_plants
5,BA,2016,yes,Arbor,0,100,0
5,BA,2016,yes,Arbor,30,100,1
5,BA,2016,yes,Arbor,60,100,3
5,BA,2016,yes,Arbor,90,100,5
5,BA,2016,yes,Arbor,120,100,10
5,BA,2016,yes,Arbor,150,100,17
5,BA,2016,yes,Arbor,180,100,30
5,BA,2016,yes,Arbor,210,100,37
5,BA,2016,yes,Arbor,240,100,45
5,BA,2016,yes,Arbor,270,100,45
5,BA,2016,no,Check,0,130,0
5,BA,2016,no,Check,30,130,0
5,BA,2016,no,Check,60,130,26
5,BA,2016,no,Check,90,130,67
5,BA,2016,no,Check,120,130,99
5,BA,2016,no,Check,150,130,130
5,BA,2016,no,Check,180,130,130
5,BA,2016,no,Check,210,130,130
5,BA,2016,no,Check,240,130,130
5,BA,2016,no,Check,270,130,130
5,BA,2016,yes,Trellis,0,107,0
5,BA,2016,yes,Trellis,30,107,0
5,BA,2016,yes,Trellis,60,107,1
5,BA,2016,yes,Trellis,90,107,6
5,BA,2016,yes,Trellis,120,107,20
5,BA,2016,yes,Trellis,150,107,24
5,BA,2016,yes,Trellis,180,107,38
5,BA,2016,yes,Trellis,210,107,42
5,BA,2016,yes,Trellis,240,107,48
5,BA,2016,yes,Trellis,270,107,48
