trt,bk,days,n_plants,inf_plants
yes,1,1,100,0
yes,1,30,100,1
yes,1,60,100,7
yes,1,90,100,11
yes,1,120,100,13
yes,1,150,100,17
yes,1,180,100,30
yes,1,210,100,37
yes,1,240,100,42
yes,1,270,100,45
no,1,1,100,0
no,1,30,100,7
no,1,60,100,17
no,1,90,100,37
no,1,120,100,60
no,1,150,100,67
no,1,180,100,76
no,1,210,100,88
no,1,240,100,90
no,1,270,100,92
no,2,1,100,0
no,2,30,100,8
no,2,60,100,26
no,2,90,100,44
no,2,120,100,47
no,2,150,100,57
no,2,180,100,67
no,2,210,100,78
no,2,240,100,84
no,2,270,100,90
yes,2,1,100,0
yes,2,30,100,1
yes,2,60,100,3
yes,2,90,100,14
yes,2,120,100,20
yes,2,150,100,24
yes,2,180,100,38
yes,2,210,100,42
yes,2,240,100,48
yes,2,270,100,48
no,3,1,100,0
no,3,30,100,8
no,3,60,100,27
no,3,90,100,46
no,3,120,100,52
no,3,150,100,59
no,3,180,100,69
no,3,210,100,80
no,3,240,100,90
no,3,270,100,95
yes,3,1,100,1
yes,3,30,100,5
yes,3,60,100,9
yes,3,90,100,18
yes,3,120,100,21
yes,3,150,100,27
yes,3,180,100,39
yes,3,210,100,44
yes,3,240,100,51
yes,3,270,100,54
