trt	bk	days	n_plants	dis_plants
no	1	1	50	0
no	1	30	50	4
no	1	60	50	6
no	1	90	50	19
no	1	120	50	30
no	1	150	50	34
no	1	180	50	42
no	1	210	50	49
no	1	240	50	50
no	1	270	50	50
no	2	1	50	0
no	2	30	50	3
no	2	60	50	4
no	2	90	50	15
no	2	120	50	24
no	2	150	50	29
no	2	180	50	34
no	2	210	50	38
no	2	240	50	42
no	2	270	50	44
no	3	1	50	0
no	3	30	50	4
no	3	60	50	6
no	3	90	50	15
no	3	120	50	26
no	3	150	50	30
no	3	180	50	35
no	3	210	50	46
no	3	240	50	47
no	3	270	50	49
yes	1	1	50	0
yes	1	30	50	1
yes	1	60	50	4
yes	1	90	50	6
yes	1	120	50	7
yes	1	150	50	9
yes	1	180	50	15
yes	1	210	50	19
yes	1	240	50	21
yes	1	270	50	23
yes	2	1	50	0
yes	2	30	50	1
yes	2	60	50	5
yes	2	90	50	7
yes	2	120	50	10
yes	2	150	50	12
yes	2	180	50	19
yes	2	210	50	21
yes	2	240	50	24
yes	2	270	50	24
yes	3	1	50	1
yes	3	30	50	3
yes	3	60	50	5
yes	3	90	50	9
yes	3	120	50	11
yes	3	150	50	14
yes	3	180	50	20
yes	3	210	50	22
yes	3	240	50	26
yes	3	270	50	27
